"id","chemical_name","chemical_id","protein_name","protein_id","protein_class","relation_name","relation_type","relation_id","activity_type","activity_value","activity_source","activity_source_link","action_type"
329,tiabendazole,CHEBI:45979,Cytochrome P450 1A2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
330,thioridazine,CHEBI:9566,Cytochrome P450 1A2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
331,capsaicin,CHEBI:3374,Cytochrome P450 1A2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
332,ketoconazole,CHEBI:47519,Cytochrome P450 21,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL295698,""
333,ketoconazole,CHEBI:47519,Cytochrome P450 24A1,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL295698,""
334,nicotine,CHEBI:17688,Cytochrome P450 2A6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
335,ticlopidine,CHEBI:9588,Cytochrome P450 2A6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,WOMBAT-PK,"",""
336,tranylcypromine,CHEBI:9652,Cytochrome P450 2A6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,7,WOMBAT-PK,"",""
337,clopidogrel,CHEBI:37941,Cytochrome P450 2B6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,WOMBAT-PK,"",""
338,ticlopidine,CHEBI:9588,Cytochrome P450 2B6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,IUPHAR,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7307,INHIBITOR
339,bicalutamide,CHEBI:3090,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL409,""
340,bortezomib,CHEBI:52717,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
341,bupropion,CHEBI:3219,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
342,bupropion and naltrexone,CHEBI:3219,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
343,clemastine,CHEBI:3738,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
344,"clemastine, combinations",CHEBI:3738,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
345,clotrimazole,CHEBI:3764,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
346,econazole,CHEBI:4754,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
347,ethylestrenol,CHEBI:31578,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
348,alfuzosin and finasteride,CHEBI:5062,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
349,finasteride,CHEBI:5062,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
350,"azithromycin, fluconazole and secnidazole",CHEBI:46081,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL106,""
351,fluconazole,CHEBI:46081,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL106,""
352,fluorescein,CHEBI:31624,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
353,"fluorescein, combinations",CHEBI:31624,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
354,hexachlorophene,CHEBI:5693,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
355,idebenone,CHEBI:31687,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
356,lacidipine,CHEBI:135737,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
357,lansoprazole,CHEBI:6375,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
358,"lansoprazole, amoxicillin and clarithromycin",CHEBI:6375,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
359,"lansoprazole, amoxicillin and levofloxacin",CHEBI:6375,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
360,"lansoprazole, amoxicillin and metronidazole",CHEBI:6375,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
361,"lansoprazole, clarithromycin and tinidazole",CHEBI:6375,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
362,"lansoprazole, combinations",CHEBI:6375,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
363,"lansoprazole, tetracycline and metronidazole",CHEBI:6375,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
364,loratadine,CHEBI:6538,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
365,medroxyprogesterone,CHEBI:6715,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
366,medroxyprogesterone and estrogen,CHEBI:6715,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
367,medroxyprogesterone and ethinylestradiol,CHEBI:6715,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
368,miconazole,CHEBI:6923,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
369,"miconazole, combinations",CHEBI:6923,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
370,nimodipine,CHEBI:7575,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
371,enalapril and nitrendipine,CHEBI:7582,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
372,nitrendipine,CHEBI:7582,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
373,nortriptyline,CHEBI:7640,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
374,omeprazole,CHEBI:7772,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
375,"omeprazole, amoxicillin and clarithromycin",CHEBI:7772,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
376,"omeprazole, amoxicillin and metronidazole",CHEBI:7772,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
377,oxybutynin,CHEBI:7856,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
378,phenelzine,CHEBI:8060,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
379,sertraline,CHEBI:9123,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
380,sirolimus,CHEBI:9168,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
381,spironolactone,CHEBI:9241,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
382,stanozolol,CHEBI:9249,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
383,sulconazole,CHEBI:9325,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
384,thiamphenicol,CHEBI:32215,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
385,"thiamphenicol, combinations",CHEBI:32215,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
386,thioridazine,CHEBI:9566,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
387,tibolone,CHEBI:32223,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
388,ticlopidine,CHEBI:9588,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
389,tropicamide,CHEBI:9757,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
390,"tropicamide, combinations",CHEBI:9757,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
391,voriconazole,CHEBI:10023,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL638,""
392,oxiconazole,CHEBI:7825,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
393,tolnaftate,CHEBI:9620,Cytochrome P450 2C19,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
394,gemfibrozil,CHEBI:5296,Cytochrome P450 2C8,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
395,mezlocillin,CHEBI:6919,Cytochrome P450 2C8,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,WOMBAT-PK,"",""
396,montelukast,CHEBI:50730,Cytochrome P450 2C8,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
397,"montelukast, combinations",CHEBI:50730,Cytochrome P450 2C8,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
398,phenelzine,CHEBI:8060,Cytochrome P450 2C8,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,IUPHAR,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7266,INHIBITOR
399,atazanavir,CHEBI:37924,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
400,atazanavir and cobicistat,CHEBI:37924,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
401,bisacodyl,CHEBI:3125,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
402,"bisacodyl, combinations",CHEBI:3125,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
403,candesartan,CHEBI:3348,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1014,""
404,candesartan and diuretics,CHEBI:3348,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1014,""
405,cilostazol,CHEBI:31401,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
406,clotrimazole,CHEBI:3764,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
407,danazol,CHEBI:4315,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
408,dicoumarol,CHEBI:4513,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
409,econazole,CHEBI:4754,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
410,felodipine,CHEBI:585948,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
411,ramipril and felodipine,CHEBI:585948,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
412,alfuzosin and finasteride,CHEBI:5062,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
413,finasteride,CHEBI:5062,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
414,"azithromycin, fluconazole and secnidazole",CHEBI:46081,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL106,""
415,fluconazole,CHEBI:46081,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL106,""
416,fluvastatin,CHEBI:38561,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
417,gemfibrozil,CHEBI:5296,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
418,glibenclamide,CHEBI:5441,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",INHIBITOR
419,ibuprofen,CHEBI:132922,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
420,"ibuprofen, combinations",CHEBI:132922,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
421,idebenone,CHEBI:31687,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
422,lacidipine,CHEBI:135737,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
423,losartan,CHEBI:6541,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
424,losartan and amlodipine,CHEBI:6541,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
425,losartan and diuretics,CHEBI:6541,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
426,megestrol,CHEBI:6723,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
427,megestrol and estrogen,CHEBI:6723,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
428,megestrol and ethinylestradiol,CHEBI:6723,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
429,mezlocillin,CHEBI:6919,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
430,miconazole,CHEBI:6923,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
431,"miconazole, combinations",CHEBI:6923,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
432,nicardipine,CHEBI:7550,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,WOMBAT-PK,"",""
433,nimodipine,CHEBI:7575,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
434,enalapril and nitrendipine,CHEBI:7582,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
435,nitrendipine,CHEBI:7582,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
436,omeprazole,CHEBI:7772,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
437,"omeprazole, amoxicillin and clarithromycin",CHEBI:7772,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
438,"omeprazole, amoxicillin and metronidazole",CHEBI:7772,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
439,phenelzine,CHEBI:8060,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
440,phenylbutazone,CHEBI:48574,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
441,phenylbutazone and corticosteroids,CHEBI:48574,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
442,propofol,CHEBI:44915,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
443,"artesunate, sulphamethopyrazine and pyrimethamine",CHEBI:8673,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
444,pyrimethamine,CHEBI:8673,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
445,"pyrimethamine, combinations",CHEBI:8673,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
446,raloxifene,CHEBI:8772,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
447,"dasabuvir, ombitasvir, paritaprevir and ritonavir",CHEBI:45409,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
448,lopinavir and ritonavir,CHEBI:45409,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
449,"ombitasvir, paritaprevir and ritonavir",CHEBI:45409,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
450,ritonavir,CHEBI:45409,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
451,sirolimus,CHEBI:9168,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
452,stanozolol,CHEBI:9249,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
453,sulconazole,CHEBI:9325,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
454,sulfafenazol,CHEBI:77780,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
455,sulfaphenazole,CHEBI:77780,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
456,suprofen,CHEBI:9362,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
457,troglitazone,CHEBI:9753,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
458,tropicamide,CHEBI:9757,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
459,"tropicamide, combinations",CHEBI:9757,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
460,voriconazole,CHEBI:10023,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL638,""
461,warfarin,CHEBI:10033,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
462,zafirlukast,CHEBI:10100,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
463,oxiconazole,CHEBI:7825,Cytochrome P450 2C9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
464,levobupivacaine,CHEBI:6149,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
465,ajmaline,CHEBI:28462,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
466,ambroxol,CHEBI:135590,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
467,amoxapine,CHEBI:2675,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
468,amsacrine,CHEBI:2687,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
469,aprindine,CHEBI:135370,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,7,WOMBAT-PK,"",""
470,atomoxetine,CHEBI:127342,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
471,bambuterol,CHEBI:553827,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
472,benproperine,CHEBI:4638,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
473,bopindolol,CHEBI:31298,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
474,bopindolol and other diuretics,CHEBI:31298,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
475,bromhexine,CHEBI:77032,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
476,bupivacaine,CHEBI:3215,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
477,"bupivacaine, combinations",CHEBI:3215,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
