"id","chemical_name","chemical_id","protein_name","protein_id","relation_name","relation_type","relation_id","evidence_type","source_type","source_link","dikb_link"
33,ergotamine,CHEBI:64318,cyp3a4,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/ergotamine_substrate_of_cyp3a4.html
45,fluoxetine,CHEBI:5118,cyp2d6,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/5f356c1b-96bd-4ef1-960c-91cf4905e6b1,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/fluoxetine_substrate_of_cyp2d6.html
46,fluoxetine,CHEBI:5118,cyp2d6,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,EV_CT_PK_Phenotype,http://www.ncbi.nlm.nih.gov/pubmed/8941024,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/fluoxetine_substrate_of_cyp2d6.html
47,alprazolam,CHEBI:2611,cyp1a2,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE AGAINST,EV_EX_Met_Enz_ID_Cyp450_Hum_Microsome_Chem,http://www.ncbi.nlm.nih.gov/pubmed/10548453,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/alprazolam_substrate_of_cyp1a2.html
169,nefazodone,CHEBI:7494,cyp2c8,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE AGAINST,EV_EX_Met_Enz_ID_Cyp450_Hum_Recom,http://www.ncbi.nlm.nih.gov/pubmed/11872324,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/nefazodone_substrate_of_cyp2c8.html
59,diltiazem,CHEBI:101278,cyp3a5,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,EV_EX_Met_Enz_ID_Cyp450_Hum_Recom,http://www.ncbi.nlm.nih.gov/pubmed/12124305,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/diltiazem_substrate_of_cyp3a5.html
60,diltiazem,CHEBI:101278,cyp3a4,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,EV_EX_Met_Enz_ID_Cyp450_Hum_Recom,http://www.ncbi.nlm.nih.gov/pubmed/12124305,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/diltiazem_substrate_of_cyp3a4.html
73,tacrolimus,CHEBI:61049,cyp3a4,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/tacrolimus_substrate_of_cyp3a4.html
74,modafinil,CHEBI:31859,cyp3a4,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/e16c26ad-7bc2-d155-3a5d-da83ad6492c8.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/modafinil_substrate_of_cyp3a4.html
77,celecoxib,CHEBI:41423,cyp2c9,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/8d52185d-421f-4e34-8db7-f7676db2a226,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/celecoxib_substrate_of_cyp2c9.html
91,voriconazole,CHEBI:10023,cyp2c9,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/ce3ef5cf-3087-4d92-9d94-9eb8287228db,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/voriconazole_substrate_of_cyp2c9.html
170,nefazodone,CHEBI:7494,cyp1a2,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE AGAINST,EV_EX_Met_Enz_ID_Cyp450_Hum_Recom,http://www.ncbi.nlm.nih.gov/pubmed/11872324,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/nefazodone_substrate_of_cyp1a2.html
99,fluvastatin,CHEBI:38561,cyp3a4,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?id=3237,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/fluvastatin_substrate_of_cyp3a4.html
107,topotecan,CHEBI:63632,p-glycoprotein,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/topotecan_substrate_of_p-glycoprotein.html
108,paroxetine,CHEBI:7936,cyp2d6,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/08320ea3-8f93-6f04-5d1c-f69af3eb5a81,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/paroxetine_substrate_of_cyp2d6.html
121,fluvastatin,CHEBI:38561,cyp2c8,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?id=3237,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/fluvastatin_substrate_of_cyp2c8.html
122,fluvastatin,CHEBI:38561,cyp2c9,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?id=3237,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/fluvastatin_substrate_of_cyp2c9.html
125,sirolimus,CHEBI:9168,cyp3a4,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/sirolimus_substrate_of_cyp3a4.html
135,atorvastatin,CHEBI:39548,cyp2e1,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE AGAINST,EV_EX_Met_Enz_ID_Cyp450_Hum_Recom,http://www.ncbi.nlm.nih.gov/pubmed/11038166,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/atorvastatin_substrate_of_cyp2e1.html
146,risperidone,CHEBI:8871,cyp3a4,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,EV_EX_Met_Enz_ID_Cyp450_Hum_Microsome_Chem,http://www.ncbi.nlm.nih.gov/pubmed/10048600,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/risperidone_substrate_of_cyp3a4.html
155,atorvastatin,CHEBI:39548,cyp2d6,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE AGAINST,EV_EX_Met_Enz_ID_Cyp450_Hum_Recom,http://www.ncbi.nlm.nih.gov/pubmed/11038166,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/atorvastatin_substrate_of_cyp2d6.html
159,zafirlukast,CHEBI:10100,cyp2c9,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/5550433b-8c9c-4378-058f-6bb724c4f18c,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/zafirlukast_substrate_of_cyp2c9.html
160,atorvastatin,CHEBI:39548,oatp1b3,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/atorvastatin_substrate_of_oatp1b3.html
161,atorvastatin,CHEBI:39548,oatp1b1,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/atorvastatin_substrate_of_oatp1b1.html
165,nefazodone,CHEBI:7494,cyp3a4,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,EV_EX_Met_Enz_ID_Cyp450_Hum_Microsome_Chem,http://www.ncbi.nlm.nih.gov/pubmed/11872324,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/nefazodone_substrate_of_cyp3a4.html
168,nefazodone,CHEBI:7494,cyp2c9,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE AGAINST,EV_EX_Met_Enz_ID_Cyp450_Hum_Recom,http://www.ncbi.nlm.nih.gov/pubmed/11872324,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/nefazodone_substrate_of_cyp2c9.html
171,atorvastatin,CHEBI:39548,cyp2c9,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE AGAINST,EV_EX_Met_Enz_ID_Cyp450_Hum_Recom,http://www.ncbi.nlm.nih.gov/pubmed/11038166,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/atorvastatin_substrate_of_cyp2c9.html
173,colchicine,CHEBI:27882,p-glycoprotein,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/colchicine_substrate_of_p-glycoprotein.html
184,warfarin,CHEBI:10033,cyp2c9,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/warfarin_substrate_of_cyp2c9.html
188,nefazodone,CHEBI:7494,cyp2d6,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE AGAINST,EV_EX_Met_Enz_ID_Cyp450_Hum_Recom,http://www.ncbi.nlm.nih.gov/pubmed/11872324,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/nefazodone_substrate_of_cyp2d6.html
189,nefazodone,CHEBI:7494,cyp2d6,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE AGAINST,EV_EX_Met_Enz_ID_Cyp450_Hum_Microsome_Chem,http://www.ncbi.nlm.nih.gov/pubmed/11872324,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/nefazodone_substrate_of_cyp2d6.html
192,voriconazole,CHEBI:10023,cyp2c19,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/ce3ef5cf-3087-4d92-9d94-9eb8287228db,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/voriconazole_substrate_of_cyp2c19.html
193,atorvastatin,CHEBI:39548,cyp2b6,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE AGAINST,EV_EX_Met_Enz_ID_Cyp450_Hum_Recom,http://www.ncbi.nlm.nih.gov/pubmed/11038166,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/atorvastatin_substrate_of_cyp2b6.html
194,atorvastatin,CHEBI:39548,cyp2c19,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE AGAINST,EV_EX_Met_Enz_ID_Cyp450_Hum_Recom,http://www.ncbi.nlm.nih.gov/pubmed/11038166,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/atorvastatin_substrate_of_cyp2c19.html
195,fluvastatin,CHEBI:38561,oatp1b1,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/fluvastatin_substrate_of_oatp1b1.html
197,bupropion,CHEBI:3219,cyp2b6,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,EV_EX_Met_Enz_ID_Cyp450_Hum_Recom,http://www.ncbi.nlm.nih.gov/pubmed/10997944,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/bupropion_substrate_of_cyp2b6.html
198,risperidone,CHEBI:8871,cyp2d6,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,EV_CT_PK_Phenotype,http://www.ncbi.nlm.nih.gov/pubmed/7690693,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/risperidone_substrate_of_cyp2d6.html
199,risperidone,CHEBI:8871,cyp2d6,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,EV_EX_Met_Enz_ID_Cyp450_Hum_Microsome_Chem,http://www.ncbi.nlm.nih.gov/pubmed/10048600,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/risperidone_substrate_of_cyp2d6.html
202,nefazodone,CHEBI:7494,cyp2c19,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE AGAINST,EV_EX_Met_Enz_ID_Cyp450_Hum_Recom,http://www.ncbi.nlm.nih.gov/pubmed/11872324,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/nefazodone_substrate_of_cyp2c19.html
204,voriconazole,CHEBI:10023,cyp3a4,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/ce3ef5cf-3087-4d92-9d94-9eb8287228db,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/voriconazole_substrate_of_cyp3a4.html
209,sertraline,CHEBI:9123,cyp2c19,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,EV_CT_PK_Genotype,http://www.ncbi.nlm.nih.gov/pubmed/11452243,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/sertraline_substrate_of_cyp2c19.html
211,atorvastatin,CHEBI:39548,cyp1a1,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE AGAINST,EV_EX_Met_Enz_ID_Cyp450_Hum_Recom,http://www.ncbi.nlm.nih.gov/pubmed/11038166,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/atorvastatin_substrate_of_cyp1a1.html
222,dihydroergotamine,CHEBI:4562,cyp3a4,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/dihydroergotamine_substrate_of_cyp3a4.html
225,fluvoxamine,CHEBI:5138,cyp2d6,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/53664f8d-3a93-9f2b-daee-380707e4062c,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/fluvoxamine_substrate_of_cyp2d6.html
226,fluvoxamine,CHEBI:5138,cyp2d6,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,EV_CT_PK_Phenotype,http://www.ncbi.nlm.nih.gov/pubmed/8823236,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/fluvoxamine_substrate_of_cyp2d6.html
227,quinidine,CHEBI:28593,cyp3a4,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/quinidine_substrate_of_cyp3a4.html
228,lansoprazole,CHEBI:6375,cyp2c19,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/71ba78cb-7e46-43eb-9425-fa130f537f84,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/lansoprazole_substrate_of_cyp2c19.html
230,lansoprazole,CHEBI:6375,cyp3a4,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/71ba78cb-7e46-43eb-9425-fa130f537f84,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/lansoprazole_substrate_of_cyp3a4.html
235,sirolimus,CHEBI:9168,p-glycoprotein,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/sirolimus_substrate_of_p-glycoprotein.html
241,lansoprazole,CHEBI:6375,cyp3a5,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/71ba78cb-7e46-43eb-9425-fa130f537f84,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/lansoprazole_substrate_of_cyp3a5.html
242,thioridazine,CHEBI:9566,cyp2d6,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/56b3f4c2-52af-4947-b225-6808ae9f26f5,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/thioridazine_substrate_of_cyp2d6.html
243,thioridazine,CHEBI:9566,cyp2d6,,is_substrate_of,substrate_of,DIDEO_00000041,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/thioridazine_substrate_of_cyp2d6.html
249,amiodarone,CHEBI:2663,p-glycoprotein,,inhibits,inhibits,RO_0002449,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/amiodarone_inhibits_p-glycoprotein.html
250,amiodarone,CHEBI:2663,p-glycoprotein,,inhibits,inhibits,RO_0002449,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/amiodarone_inhibits_p-glycoprotein.html
255,alprazolam,CHEBI:2611,cyp3a4,,inhibits,inhibits,RO_0002449,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/alprazolam_inhibits_cyp3a4.html
261,modafinil,CHEBI:31859,cyp2c19,,inhibits,inhibits,RO_0002449,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/e16c26ad-7bc2-d155-3a5d-da83ad6492c8.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/modafinil_inhibits_cyp2c19.html
262,ticlopidine,CHEBI:9588,cyp2b6,,inhibits,inhibits,RO_0002449,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/ticlopidine_inhibits_cyp2b6.html
266,felodipine,CHEBI:585948,cyp3a4,,inhibits,inhibits,RO_0002449,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/felodipine_inhibits_cyp3a4.html
271,montelukast,CHEBI:50730,cyp3a4,,inhibits,inhibits,RO_0002449,EVIDENCE AGAINST,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/a99f55de-39d1-483a-ba88-dbda5613c6a7,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/montelukast_inhibits_cyp3a4.html
281,isoniazid,CHEBI:6030,cyp3a4,,inhibits,inhibits,RO_0002449,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/isoniazid_inhibits_cyp3a4.html
287,miconazole,CHEBI:6923,cyp2c9,,inhibits,inhibits,RO_0002449,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/miconazole_inhibits_cyp2c9.html
291,indinavir,CHEBI:44032,cyp2e1,,inhibits,inhibits,RO_0002449,EVIDENCE AGAINST,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/e19405d9-d9a1-4072-5b9e-40cd3ae4bf1f,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/indinavir_inhibits_cyp2e1.html
292,terbinafine,CHEBI:9448,cyp1a2,,inhibits,inhibits,RO_0002449,EVIDENCE FOR,Non_Tracable_Statement,http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm292362.pdf,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/terbinafine_inhibits_cyp1a2.html
300,bupropion,CHEBI:3219,cyp2d6,,inhibits,inhibits,RO_0002449,EVIDENCE FOR,Non_traceable_Drug_Label_Statement,http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/c2126e2d-3b46-40dd-8168-6d0368e5d233,https://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/dikb-web/bupropion_inhibits_cyp2d6.html
