cui	eg_uri	obo
C0040005	http://dikb.org/ad#C0040005	http://purl.obolibrary.org/obo/CHEBI_73665
C0653858	http://dikb.org/ad#C0653858	http://purl.obolibrary.org/obo/CHEBI_73811
C0017890	http://dikb.org/ad#C0017890	http://purl.obolibrary.org/obo/CHEBI_73930
C1550543	http://dikb.org/ad#C1550543	http://purl.obolibrary.org/obo/CHEBI_74053
C0042285	http://dikb.org/ad#C0042285	http://purl.obolibrary.org/obo/CHEBI_74060
C0649350	http://dikb.org/ad#C0649350	http://purl.obolibrary.org/obo/CHEBI_8874
C0072980	http://dikb.org/ad#C0072980	http://purl.obolibrary.org/obo/CHEBI_9168
C1551338	http://dikb.org/ad#C1551338	http://purl.obolibrary.org/obo/BFO_0000001
C0039485	http://dikb.org/ad#C0039485	http://purl.obolibrary.org/obo/BFO_0000008
C1522240	http://dikb.org/ad#C1522240	http://purl.obolibrary.org/obo/BFO_0000015
C0332306	http://dikb.org/ad#C0332306	http://purl.obolibrary.org/obo/BFO_0000019
C0205145	http://dikb.org/ad#C0205145	http://purl.obolibrary.org/obo/BFO_0000029
C0027270	http://dikb.org/ad#C0027270	http://purl.obolibrary.org/obo/CHEBI_13389
C0017817	http://dikb.org/ad#C0017817	http://purl.obolibrary.org/obo/CHEBI_16856
C0039601	http://dikb.org/ad#C0039601	http://purl.obolibrary.org/obo/CHEBI_17347
C0870883	http://dikb.org/ad#C0870883	http://purl.obolibrary.org/obo/CHEBI_25212
C0010206	http://dikb.org/ad#C0010206	http://purl.obolibrary.org/obo/CHEBI_28794
C1101838	http://dikb.org/ad#C1101838	http://purl.obolibrary.org/obo/CHEBI_32020
C0007066	http://dikb.org/ad#C0007066	http://purl.obolibrary.org/obo/CHEBI_33575
C0178735	http://dikb.org/ad#C0178735	http://purl.obolibrary.org/obo/CHEBI_33839
C0018974	http://dikb.org/ad#C0018974	http://purl.obolibrary.org/obo/CHEBI_35137
C1999216	http://dikb.org/ad#C1999216	http://purl.obolibrary.org/obo/CHEBI_35222
C0014898	http://dikb.org/ad#C0014898	http://purl.obolibrary.org/obo/CHEBI_35701
C0033684	http://dikb.org/ad#C0033684	http://purl.obolibrary.org/obo/CHEBI_36080
C0082608	http://dikb.org/ad#C0082608	http://purl.obolibrary.org/obo/CHEBI_38561
C0286651	http://dikb.org/ad#C0286651	http://purl.obolibrary.org/obo/CHEBI_39548
C0024027	http://dikb.org/ad#C0024027	http://purl.obolibrary.org/obo/CHEBI_40303
C0012091	http://dikb.org/ad#C0012091	http://purl.obolibrary.org/obo/CHEBI_47381
C0016365	http://dikb.org/ad#C0016365	http://purl.obolibrary.org/obo/CHEBI_5118
C0162373	http://dikb.org/ad#C0162373	http://purl.obolibrary.org/obo/CHEBI_5118
C0085228	http://dikb.org/ad#C0085228	http://purl.obolibrary.org/obo/CHEBI_5138
C0220806	http://dikb.org/ad#C0220806	http://purl.obolibrary.org/obo/CHEBI_59999
C0028066	http://dikb.org/ad#C0028066	http://purl.obolibrary.org/obo/CHEBI_7565
C0074554	http://dikb.org/ad#C0074554	http://purl.obolibrary.org/obo/CHEBI_9150
C1148560	http://dikb.org/ad#C1148560	http://purl.obolibrary.org/obo/GO_0003674
C0243102	http://dikb.org/ad#C0243102	http://purl.obolibrary.org/obo/GO_0003824
C1166607	http://dikb.org/ad#C1166607	http://purl.obolibrary.org/obo/GO_0005575
C0005528	http://dikb.org/ad#C0005528	http://purl.obolibrary.org/obo/GO_0006810
C3714634	http://dikb.org/ad#C3714634	http://purl.obolibrary.org/obo/GO_0008150
C0025519	http://dikb.org/ad#C0025519	http://purl.obolibrary.org/obo/GO_0008152
C1524026	http://dikb.org/ad#C1524026	http://purl.obolibrary.org/obo/GO_0008152
C1180347	http://dikb.org/ad#C1180347	http://purl.obolibrary.org/obo/GO_0032991
C1180347	http://dikb.org/ad#C1180347	http://purl.obolibrary.org/obo/GO_0043234
C1524026	http://dikb.org/ad#C1524026	http://purl.obolibrary.org/obo/GO_0044237
C1327622	http://dikb.org/ad#C1327622	http://purl.obolibrary.org/obo/GO_0050789
C1744691	http://dikb.org/ad#C1744691	http://purl.obolibrary.org/obo/GO_0051179
C0851285	http://dikb.org/ad#C0851285	http://purl.obolibrary.org/obo/GO_0065007
C0243144	http://dikb.org/ad#C0243144	http://purl.obolibrary.org/obo/GO_0098657
C3888108	http://dikb.org/ad#C3888108	http://purl.obolibrary.org/obo/GO_0098657
C0243144	http://dikb.org/ad#C0243144	http://purl.obolibrary.org/obo/GO_0098739
C4522130	http://dikb.org/ad#C4522130	http://purl.obolibrary.org/obo/IAO_0000009
C3273238	http://dikb.org/ad#C3273238	http://purl.obolibrary.org/obo/IAO_0000088
C0150098	http://dikb.org/ad#C0150098	http://purl.obolibrary.org/obo/IAO_0000100
C0086418	http://dikb.org/ad#C0086418	http://purl.obolibrary.org/obo/NCBITaxon_9606
C1705920	http://dikb.org/ad#C1705920	http://purl.obolibrary.org/obo/NCBITaxon_species
C2599718	http://dikb.org/ad#C2599718	http://purl.obolibrary.org/obo/OBI_0000272
C3888058	http://dikb.org/ad#C3888058	http://purl.obolibrary.org/obo/UBERON_0000467
C0699819	http://dikb.org/ad#C0699819	http://purl.obolibrary.org/obo/UBERON_0001007
C0682523	http://dikb.org/ad#C0682523	http://www.ebi.ac.uk/cellline#human_cell_line
C0061267	http://dikb.org/ad#C0061267	http://purl.obolibrary.org/obo/CHEBI_10136
C0178681	http://dikb.org/ad#C0178681	http://purl.obolibrary.org/obo/CHEBI_133744
C4033447	http://dikb.org/ad#C4033447	http://purl.obolibrary.org/obo/CHEBI_134714
C0056471	http://dikb.org/ad#C0056471	http://purl.obolibrary.org/obo/CHEBI_134856
C0017889	http://dikb.org/ad#C0017889	http://purl.obolibrary.org/obo/CHEBI_135063
C0073378	http://dikb.org/ad#C0073378	http://purl.obolibrary.org/obo/CHEBI_135767
C0061860	http://dikb.org/ad#C0061860	http://purl.obolibrary.org/obo/CHEBI_136516
C1720589	http://dikb.org/ad#C1720589	http://purl.obolibrary.org/obo/CHEBI_136604
C0237795	http://dikb.org/ad#C0237795	http://purl.obolibrary.org/obo/CHEBI_137431
C0040160	http://dikb.org/ad#C0040160	http://purl.obolibrary.org/obo/CHEBI_137741
C1568245	http://dikb.org/ad#C1568245	http://purl.obolibrary.org/obo/CHEBI_138015
C3812195	http://dikb.org/ad#C3812195	http://purl.obolibrary.org/obo/CHEBI_138157
C1308752	http://dikb.org/ad#C1308752	http://purl.obolibrary.org/obo/CHEBI_138157
C0538075	http://dikb.org/ad#C0538075	http://purl.obolibrary.org/obo/CHEBI_138159
C1366571	http://dikb.org/ad#C1366571	http://purl.obolibrary.org/obo/CHEBI_138181
C0005390	http://dikb.org/ad#C0005390	http://purl.obolibrary.org/obo/CHEBI_138366
C0949860	http://dikb.org/ad#C0949860	http://purl.obolibrary.org/obo/CHEBI_138408
C0003601	http://dikb.org/ad#C0003601	http://purl.obolibrary.org/obo/CHEBI_13850
C0030031	http://dikb.org/ad#C0030031	http://purl.obolibrary.org/obo/CHEBI_138856
C0026661	http://dikb.org/ad#C0026661	http://purl.obolibrary.org/obo/CHEBI_139356
C0038111	http://dikb.org/ad#C0038111	http://purl.obolibrary.org/obo/CHEBI_140399
C0599013	http://dikb.org/ad#C0599013	http://purl.obolibrary.org/obo/CHEBI_140488
C0560184	http://dikb.org/ad#C0560184	http://purl.obolibrary.org/obo/CHEBI_141213
C0019879	http://dikb.org/ad#C0019879	http://purl.obolibrary.org/obo/CHEBI_141698
C0017789	http://dikb.org/ad#C0017789	http://purl.obolibrary.org/obo/CHEBI_14321
C0939237	http://dikb.org/ad#C0939237	http://purl.obolibrary.org/obo/CHEBI_145924
C1704922	http://dikb.org/ad#C1704922	http://purl.obolibrary.org/obo/CHEBI_147370
C0053622	http://dikb.org/ad#C0053622	http://purl.obolibrary.org/obo/CHEBI_147403
C0072662	http://dikb.org/ad#C0072662	http://purl.obolibrary.org/obo/CHEBI_14973
C0039938	http://dikb.org/ad#C0039938	http://purl.obolibrary.org/obo/CHEBI_15033
C0043318	http://dikb.org/ad#C0043318	http://purl.obolibrary.org/obo/CHEBI_15318
C0043314	http://dikb.org/ad#C0043314	http://purl.obolibrary.org/obo/CHEBI_15318
C0000966	http://dikb.org/ad#C0000966	http://purl.obolibrary.org/obo/CHEBI_15343
C0244104	http://dikb.org/ad#C0244104	http://purl.obolibrary.org/obo/CHEBI_15361
C0040845	http://dikb.org/ad#C0040845	http://purl.obolibrary.org/obo/CHEBI_15367
C0599638	http://dikb.org/ad#C0599638	http://purl.obolibrary.org/obo/CHEBI_15377
C0122759	http://dikb.org/ad#C0122759	http://purl.obolibrary.org/obo/CHEBI_15378
C0058347	http://dikb.org/ad#C0058347	http://purl.obolibrary.org/obo/CHEBI_15379
C0021936	http://dikb.org/ad#C0021936	http://purl.obolibrary.org/obo/CHEBI_15443
C0047420	http://dikb.org/ad#C0047420	http://purl.obolibrary.org/obo/CHEBI_15467
C0033567	http://dikb.org/ad#C0033567	http://purl.obolibrary.org/obo/CHEBI_15552
C0007404	http://dikb.org/ad#C0007404	http://purl.obolibrary.org/obo/CHEBI_15600
C0023401	http://dikb.org/ad#C0023401	http://purl.obolibrary.org/obo/CHEBI_15603
C0048898	http://dikb.org/ad#C0048898	http://purl.obolibrary.org/obo/CHEBI_15635
C0023546	http://dikb.org/ad#C0023546	http://purl.obolibrary.org/obo/CHEBI_15647
C0007267	http://dikb.org/ad#C0007267	http://purl.obolibrary.org/obo/CHEBI_15727
C0075193	http://dikb.org/ad#C0075193	http://purl.obolibrary.org/obo/CHEBI_15738
C0037874	http://dikb.org/ad#C0037874	http://purl.obolibrary.org/obo/CHEBI_15746
C0030234	http://dikb.org/ad#C0030234	http://purl.obolibrary.org/obo/CHEBI_15756
C0031721	http://dikb.org/ad#C0031721	http://purl.obolibrary.org/obo/CHEBI_15811
C0016745	http://dikb.org/ad#C0016745	http://purl.obolibrary.org/obo/CHEBI_15824
C0003695	http://dikb.org/ad#C0003695	http://purl.obolibrary.org/obo/CHEBI_15843
C0178485	http://dikb.org/ad#C0178485	http://purl.obolibrary.org/obo/CHEBI_15843
C0065264	http://dikb.org/ad#C0065264	http://purl.obolibrary.org/obo/CHEBI_15864
C0038323	http://dikb.org/ad#C0038323	http://purl.obolibrary.org/obo/CHEBI_15889
C0028027	http://dikb.org/ad#C0028027	http://purl.obolibrary.org/obo/CHEBI_15940
C0065331	http://dikb.org/ad#C0065331	http://purl.obolibrary.org/obo/CHEBI_15948
C0005575	http://dikb.org/ad#C0005575	http://purl.obolibrary.org/obo/CHEBI_15956
C0039938	http://dikb.org/ad#C0039938	http://purl.obolibrary.org/obo/CHEBI_15967
C0019602	http://dikb.org/ad#C0019602	http://purl.obolibrary.org/obo/CHEBI_15971
C0017789	http://dikb.org/ad#C0017789	http://purl.obolibrary.org/obo/CHEBI_16015
C0061472	http://dikb.org/ad#C0061472	http://purl.obolibrary.org/obo/CHEBI_16015
C0001413	http://dikb.org/ad#C0001413	http://purl.obolibrary.org/obo/CHEBI_16027
C0001465	http://dikb.org/ad#C0001465	http://purl.obolibrary.org/obo/CHEBI_16027
C1450468	http://dikb.org/ad#C1450468	http://purl.obolibrary.org/obo/CHEBI_16038
C0010843	http://dikb.org/ad#C0010843	http://purl.obolibrary.org/obo/CHEBI_16040
C0008240	http://dikb.org/ad#C0008240	http://purl.obolibrary.org/obo/CHEBI_16112
C0008377	http://dikb.org/ad#C0008377	http://purl.obolibrary.org/obo/CHEBI_16113
C0011041	http://dikb.org/ad#C0011041	http://purl.obolibrary.org/obo/CHEBI_16130
C0020282	http://dikb.org/ad#C0020282	http://purl.obolibrary.org/obo/CHEBI_16136
C0133788	http://dikb.org/ad#C0133788	http://purl.obolibrary.org/obo/CHEBI_16196
C0028928	http://dikb.org/ad#C0028928	http://purl.obolibrary.org/obo/CHEBI_16196
C0018321	http://dikb.org/ad#C0018321	http://purl.obolibrary.org/obo/CHEBI_16235
C0031676	http://dikb.org/ad#C0031676	http://purl.obolibrary.org/obo/CHEBI_16247
C0031610	http://dikb.org/ad#C0031610	http://purl.obolibrary.org/obo/CHEBI_16337
C0007258	http://dikb.org/ad#C0007258	http://purl.obolibrary.org/obo/CHEBI_16347
C0065936	http://dikb.org/ad#C0065936	http://purl.obolibrary.org/obo/CHEBI_16374
C0038739	http://dikb.org/ad#C0038739	http://purl.obolibrary.org/obo/CHEBI_16385
C0041536	http://dikb.org/ad#C0041536	http://purl.obolibrary.org/obo/CHEBI_16389
C0037907	http://dikb.org/ad#C0037907	http://purl.obolibrary.org/obo/CHEBI_16393
C0034268	http://dikb.org/ad#C0034268	http://purl.obolibrary.org/obo/CHEBI_16410
C0054433	http://dikb.org/ad#C0054433	http://purl.obolibrary.org/obo/CHEBI_16433
C0003765	http://dikb.org/ad#C0003765	http://purl.obolibrary.org/obo/CHEBI_16467
C0023791	http://dikb.org/ad#C0023791	http://purl.obolibrary.org/obo/CHEBI_16494
C1096793	http://dikb.org/ad#C1096793	http://purl.obolibrary.org/obo/CHEBI_16509
C0040815	http://dikb.org/ad#C0040815	http://purl.obolibrary.org/obo/CHEBI_16551
C0037871	http://dikb.org/ad#C0037871	http://purl.obolibrary.org/obo/CHEBI_16610
C0007004	http://dikb.org/ad#C0007004	http://purl.obolibrary.org/obo/CHEBI_16646
C0030956	http://dikb.org/ad#C0030956	http://purl.obolibrary.org/obo/CHEBI_16670
C0042002	http://dikb.org/ad#C0042002	http://purl.obolibrary.org/obo/CHEBI_16695
C0001407	http://dikb.org/ad#C0001407	http://purl.obolibrary.org/obo/CHEBI_16708
C0000503	http://dikb.org/ad#C0000503	http://purl.obolibrary.org/obo/CHEBI_16724
C0010294	http://dikb.org/ad#C0010294	http://purl.obolibrary.org/obo/CHEBI_16737
C0523452	http://dikb.org/ad#C0523452	http://purl.obolibrary.org/obo/CHEBI_16761
C1291208	http://dikb.org/ad#C1291208	http://purl.obolibrary.org/obo/CHEBI_16810
C0010124	http://dikb.org/ad#C0010124	http://purl.obolibrary.org/obo/CHEBI_16827
C0017889	http://dikb.org/ad#C0017889	http://purl.obolibrary.org/obo/CHEBI_16870
C0033954	http://dikb.org/ad#C0033954	http://purl.obolibrary.org/obo/CHEBI_16874
C0021236	http://dikb.org/ad#C0021236	http://purl.obolibrary.org/obo/CHEBI_16881
C0010286	http://dikb.org/ad#C0010286	http://purl.obolibrary.org/obo/CHEBI_16919
C0022818	http://dikb.org/ad#C0022818	http://purl.obolibrary.org/obo/CHEBI_16946
C0067684	http://dikb.org/ad#C0067684	http://purl.obolibrary.org/obo/CHEBI_16953
C0011710	http://dikb.org/ad#C0011710	http://purl.obolibrary.org/obo/CHEBI_16973
C0001898	http://dikb.org/ad#C0001898	http://purl.obolibrary.org/obo/CHEBI_16977
C0008387	http://dikb.org/ad#C0008387	http://purl.obolibrary.org/obo/CHEBI_17002
C0022634	http://dikb.org/ad#C0022634	http://purl.obolibrary.org/obo/CHEBI_17087
C0017968	http://dikb.org/ad#C0017968	http://purl.obolibrary.org/obo/CHEBI_17089
C0007258	http://dikb.org/ad#C0007258	http://purl.obolibrary.org/obo/CHEBI_17126
C3887622	http://dikb.org/ad#C3887622	http://purl.obolibrary.org/obo/CHEBI_17138
C0034170	http://dikb.org/ad#C0034170	http://purl.obolibrary.org/obo/CHEBI_17148
C0028027	http://dikb.org/ad#C0028027	http://purl.obolibrary.org/obo/CHEBI_17154
C0011503	http://dikb.org/ad#C0011503	http://purl.obolibrary.org/obo/CHEBI_17172
C0022192	http://dikb.org/ad#C0022192	http://purl.obolibrary.org/obo/CHEBI_17191
C0003995	http://dikb.org/ad#C0003995	http://purl.obolibrary.org/obo/CHEBI_17196
C0033382	http://dikb.org/ad#C0033382	http://purl.obolibrary.org/obo/CHEBI_17203
C0072662	http://dikb.org/ad#C0072662	http://purl.obolibrary.org/obo/CHEBI_17241
C0011177	http://dikb.org/ad#C0011177	http://purl.obolibrary.org/obo/CHEBI_17242
C0007018	http://dikb.org/ad#C0007018	http://purl.obolibrary.org/obo/CHEBI_17245
C0220903	http://dikb.org/ad#C0220903	http://purl.obolibrary.org/obo/CHEBI_17258
C0014942	http://dikb.org/ad#C0014942	http://purl.obolibrary.org/obo/CHEBI_17263
C0021547	http://dikb.org/ad#C0021547	http://purl.obolibrary.org/obo/CHEBI_17268
C0031634	http://dikb.org/ad#C0031634	http://purl.obolibrary.org/obo/CHEBI_17287
C0023749	http://dikb.org/ad#C0023749	http://purl.obolibrary.org/obo/CHEBI_17351
C0020684	http://dikb.org/ad#C0020684	http://purl.obolibrary.org/obo/CHEBI_17368
C0017854	http://dikb.org/ad#C0017854	http://purl.obolibrary.org/obo/CHEBI_17378
C0054433	http://dikb.org/ad#C0054433	http://purl.obolibrary.org/obo/CHEBI_17395
C0031855	http://dikb.org/ad#C0031855	http://purl.obolibrary.org/obo/CHEBI_17401
C0001814	http://dikb.org/ad#C0001814	http://purl.obolibrary.org/obo/CHEBI_17431
C0001992	http://dikb.org/ad#C0001992	http://purl.obolibrary.org/obo/CHEBI_17478
C0001455	http://dikb.org/ad#C0001455	http://purl.obolibrary.org/obo/CHEBI_17489
C0001465	http://dikb.org/ad#C0001465	http://purl.obolibrary.org/obo/CHEBI_17489
C0013018	http://dikb.org/ad#C0013018	http://purl.obolibrary.org/obo/CHEBI_17499
C0031619	http://dikb.org/ad#C0031619	http://purl.obolibrary.org/obo/CHEBI_17517
C0019878	http://dikb.org/ad#C0019878	http://purl.obolibrary.org/obo/CHEBI_17588
C0037906	http://dikb.org/ad#C0037906	http://purl.obolibrary.org/obo/CHEBI_17636
C0025879	http://dikb.org/ad#C0025879	http://purl.obolibrary.org/obo/CHEBI_17710
C0040077	http://dikb.org/ad#C0040077	http://purl.obolibrary.org/obo/CHEBI_17748
C0086126	http://dikb.org/ad#C0086126	http://purl.obolibrary.org/obo/CHEBI_17748
C0010640	http://dikb.org/ad#C0010640	http://purl.obolibrary.org/obo/CHEBI_17755
C0007745	http://dikb.org/ad#C0007745	http://purl.obolibrary.org/obo/CHEBI_17761
C0935936	http://dikb.org/ad#C0935936	http://purl.obolibrary.org/obo/CHEBI_17775
C0040160	http://dikb.org/ad#C0040160	http://purl.obolibrary.org/obo/CHEBI_17842
C0035711	http://dikb.org/ad#C0035711	http://purl.obolibrary.org/obo/CHEBI_17843
C0041004	http://dikb.org/ad#C0041004	http://purl.obolibrary.org/obo/CHEBI_17855
C0061516	http://dikb.org/ad#C0061516	http://purl.obolibrary.org/obo/CHEBI_17858
C0061506	http://dikb.org/ad#C0061506	http://purl.obolibrary.org/obo/CHEBI_17859
C0013018	http://dikb.org/ad#C0013018	http://purl.obolibrary.org/obo/CHEBI_17891
C0035331	http://dikb.org/ad#C0035331	http://purl.obolibrary.org/obo/CHEBI_17898
C0067385	http://dikb.org/ad#C0067385	http://purl.obolibrary.org/obo/CHEBI_17929
C0001374	http://dikb.org/ad#C0001374	http://purl.obolibrary.org/obo/CHEBI_17984
C0146894	http://dikb.org/ad#C0146894	http://purl.obolibrary.org/obo/CHEBI_18036
C0031959	http://dikb.org/ad#C0031959	http://purl.obolibrary.org/obo/CHEBI_18049
C0017797	http://dikb.org/ad#C0017797	http://purl.obolibrary.org/obo/CHEBI_18050
C0023779	http://dikb.org/ad#C0023779	http://purl.obolibrary.org/obo/CHEBI_18059
C0010749	http://dikb.org/ad#C0010749	http://purl.obolibrary.org/obo/CHEBI_18070
C2945739	http://dikb.org/ad#C2945739	http://purl.obolibrary.org/obo/CHEBI_18132
C0031716	http://dikb.org/ad#C0031716	http://purl.obolibrary.org/obo/CHEBI_18132
C0007413	http://dikb.org/ad#C0007413	http://purl.obolibrary.org/obo/CHEBI_18135
C0969677	http://dikb.org/ad#C0969677	http://purl.obolibrary.org/obo/CHEBI_18145
C0067067	http://dikb.org/ad#C0067067	http://purl.obolibrary.org/obo/CHEBI_18152
C0032594	http://dikb.org/ad#C0032594	http://purl.obolibrary.org/obo/CHEBI_18154
C0017789	http://dikb.org/ad#C0017789	http://purl.obolibrary.org/obo/CHEBI_18237
C0020388	http://dikb.org/ad#C0020388	http://purl.obolibrary.org/obo/CHEBI_18240
C0002055	http://dikb.org/ad#C0002055	http://purl.obolibrary.org/obo/CHEBI_18282
C0012789	http://dikb.org/ad#C0012789	http://purl.obolibrary.org/obo/CHEBI_18320
C0003134	http://dikb.org/ad#C0003134	http://purl.obolibrary.org/obo/CHEBI_18323
C0022816	http://dikb.org/ad#C0022816	http://purl.obolibrary.org/obo/CHEBI_18344
C0017770	http://dikb.org/ad#C0017770	http://purl.obolibrary.org/obo/CHEBI_18368
C0039840	http://dikb.org/ad#C0039840	http://purl.obolibrary.org/obo/CHEBI_18385
C0912024	http://dikb.org/ad#C0912024	http://purl.obolibrary.org/obo/CHEBI_18388
C0070559	http://dikb.org/ad#C0070559	http://purl.obolibrary.org/obo/CHEBI_18397
C0034266	http://dikb.org/ad#C0034266	http://purl.obolibrary.org/obo/CHEBI_18405
C0048898	http://dikb.org/ad#C0048898	http://purl.obolibrary.org/obo/CHEBI_20506
C0001413	http://dikb.org/ad#C0001413	http://purl.obolibrary.org/obo/CHEBI_22256
C0002062	http://dikb.org/ad#C0002062	http://purl.obolibrary.org/obo/CHEBI_22315
C0052430	http://dikb.org/ad#C0052430	http://purl.obolibrary.org/obo/CHEBI_223316
C0003075	http://dikb.org/ad#C0003075	http://purl.obolibrary.org/obo/CHEBI_22563
C0003402	http://dikb.org/ad#C0003402	http://purl.obolibrary.org/obo/CHEBI_22586
C0003451	http://dikb.org/ad#C0003451	http://purl.obolibrary.org/obo/CHEBI_22587
C0178487	http://dikb.org/ad#C0178487	http://purl.obolibrary.org/obo/CHEBI_22651
C0002055	http://dikb.org/ad#C0002055	http://purl.obolibrary.org/obo/CHEBI_22695
C0005064	http://dikb.org/ad#C0005064	http://purl.obolibrary.org/obo/CHEBI_22720
C0002521	http://dikb.org/ad#C0002521	http://purl.obolibrary.org/obo/CHEBI_22918
C0007269	http://dikb.org/ad#C0007269	http://purl.obolibrary.org/obo/CHEBI_23042
C0009235	http://dikb.org/ad#C0009235	http://purl.obolibrary.org/obo/CHEBI_23354
C0178555	http://dikb.org/ad#C0178555	http://purl.obolibrary.org/obo/CHEBI_23357
C0056301	http://dikb.org/ad#C0056301	http://purl.obolibrary.org/obo/CHEBI_23414
C0030957	http://dikb.org/ad#C0030957	http://purl.obolibrary.org/obo/CHEBI_23449
C0010558	http://dikb.org/ad#C0010558	http://purl.obolibrary.org/obo/CHEBI_23456
C0013227	http://dikb.org/ad#C0013227	http://purl.obolibrary.org/obo/CHEBI_23888
C0025118	http://dikb.org/ad#C0025118	http://purl.obolibrary.org/obo/CHEBI_23888
